Date,Open,High,Low,Close,Volume,Change
2023-01-02,17700,17750,14450,14800,578990,-0.14942528735632188
2023-01-03,14800,15250,14300,14850,256378,0.0033783783783782884
2023-01-04,15150,15500,14800,14950,272216,0.006734006734006703
2023-01-05,15550,15800,14750,14950,375417,0.0
2023-01-06,15200,16600,15200,16400,981046,0.09698996655518388
2023-01-09,16350,18000,16000,17400,1078118,0.060975609756097615
2023-01-10,17200,20000,16900,18350,2415024,0.05459770114942519
2023-01-11,18600,18950,18150,18300,460686,-0.0027247956403270157
2023-01-12,18350,18550,17600,17850,233734,-0.024590163934426257
2023-01-13,17850,20200,17700,19600,1980285,0.0980392156862746
2023-01-16,19350,21250,19350,20050,1148650,0.022959183673469497
2023-01-17,19950,20750,19400,20350,463102,0.014962593516209433
2023-01-18,20950,22450,20450,20700,1428958,0.017199017199017286
2023-01-19,20550,20900,18800,20300,650745,-0.019323671497584516
2023-01-20,19900,21800,19550,21400,737286,0.054187192118226646
2023-01-25,21950,23650,21900,22350,1735497,0.04439252336448596
2023-01-26,22400,22550,19100,19650,1027159,-0.12080536912751683
2023-01-27,19700,20400,19060,20050,922056,0.020356234096692072
2023-01-30,20700,24550,19990,24350,5010966,0.21446384039900246
2023-01-31,24000,29650,22450,27000,7212769,0.10882956878850103
2023-02-01,26800,29400,25350,27200,5643804,0.007407407407407307
2023-02-02,26500,27400,25550,27200,1521068,0.0
2023-02-03,27800,29300,26350,26350,2341437,-0.03125
2023-02-06,26600,29450,24700,29150,6089250,0.10626185958254264
2023-02-07,28550,30300,28050,28550,2688546,-0.020583190394511175
2023-02-08,28850,29400,27200,27450,1053792,-0.038528896672504365
2023-02-09,27150,27400,26050,26350,845641,-0.04007285974499086
2023-02-10,25800,25800,24450,24700,768392,-0.06261859582542695
2023-02-13,24650,28500,24550,26350,3871258,0.0668016194331984
2023-02-14,26700,27250,25750,25900,1004964,-0.017077798861480087
2023-02-15,25600,25700,21900,22100,1473686,-0.14671814671814676
2023-02-16,22100,22900,21750,22450,697249,0.015837104072398134
2023-02-17,22200,24350,22100,22650,1424246,0.008908685968819663
2023-02-20,23000,24300,22850,23700,788450,0.04635761589403975
2023-02-21,23850,24300,23050,23700,671316,0.0
2023-02-22,23150,23650,22300,22700,427444,-0.04219409282700426
2023-02-23,23150,26400,23100,24850,3302805,0.09471365638766516
2023-02-24,25550,27700,24600,25950,3251534,0.04426559356136828
2023-02-27,26200,26700,24950,26350,1030293,0.015414258188824581
2023-02-28,27600,28800,25750,26550,2219333,0.007590132827324458
2023-03-02,26350,26400,24250,24600,700188,-0.07344632768361581
2023-03-03,25450,25500,24350,24500,355233,-0.004065040650406471
2023-03-06,24250,25250,23350,24750,624405,0.010204081632652962
2023-03-07,24300,25550,23550,24050,542925,-0.028282828282828243
2023-03-08,23850,23950,22950,23850,313286,-0.008316008316008316
2023-03-09,23850,24500,23050,23650,273285,-0.008385744234800874
2023-03-10,23000,23700,21900,23500,493258,-0.006342494714587699
2023-03-13,23750,26400,23350,25700,3031284,0.09361702127659566
2023-03-14,25550,26950,22950,22950,1715001,-0.10700389105058361
2023-03-15,24200,26100,24000,24700,1353932,0.07625272331154687
2023-03-16,24700,25650,23300,23550,912061,-0.046558704453441346
2023-03-17,24300,27500,23600,27500,2852613,0.16772823779193202
2023-03-20,27250,27550,25500,25950,1089115,-0.056363636363636394
2023-03-21,25800,28350,25500,26600,2242239,0.025048169556840083
2023-03-22,27800,29700,27050,27250,2439435,0.02443609022556381
2023-03-23,27450,30600,26800,28500,3803571,0.04587155963302747
2023-03-24,28750,29500,27500,28350,889215,-0.0052631578947368585
2023-03-27,28450,29450,28350,28900,641586,0.01940035273368612
2023-03-28,29250,31800,28150,29050,2666083,0.00519031141868509
2023-03-29,28500,28750,27500,27550,579186,-0.05163511187607572
2023-03-30,27700,28350,26200,26950,541214,-0.02177858439201452
2023-03-31,26750,26750,24850,24850,495913,-0.07792207792207795
2023-04-03,25400,27050,25200,26750,618597,0.0764587525150906
2023-04-04,27100,28900,27050,28000,1198004,0.04672897196261672
2023-04-05,28000,28200,26600,27650,484301,-0.012499999999999956
2023-04-06,27550,27550,25300,25700,679076,-0.07052441229656414
2023-04-07,26200,26400,25550,25550,267932,-0.005836575875486361
2023-04-10,24700,24800,23350,23750,438058,-0.07045009784735812
2023-04-11,24150,24350,22650,23300,407267,-0.0189473684210526
2023-04-12,23150,23600,22350,22750,287797,-0.023605150214592308
2023-04-13,22650,23700,22400,23400,260747,0.02857142857142847
2023-04-14,24100,26000,23600,24800,901856,0.05982905982905984
2023-04-17,25600,25750,24700,25150,334814,0.014112903225806495
2023-04-18,25150,25500,23600,23800,218182,-0.05367793240556662
2023-04-19,23700,24850,23650,23850,199152,0.0021008403361344463
2023-04-20,23900,24100,22450,22450,201379,-0.058700209643605894
2023-04-21,22650,28500,22200,26550,6088587,0.18262806236080187
2023-04-24,27900,30700,25650,27700,4686470,0.043314500941619594
2023-04-25,26900,29950,26550,29350,3093978,0.05956678700361007
2023-04-26,29350,34000,27600,32250,9179393,0.0988074957410563
2023-04-27,32700,35450,29950,30800,4105178,-0.04496124031007753
2023-04-28,32100,33250,30300,31700,2626955,0.02922077922077926
2023-05-02,31100,33400,29100,32200,2249201,0.01577287066246047
2023-05-03,31050,31500,29000,29000,1421088,-0.0993788819875776
2023-05-04,28350,29850,28150,28200,693939,-0.02758620689655178
2023-05-08,28350,29650,28150,28450,668565,0.00886524822695045
2023-05-09,28750,29150,26900,27850,544574,-0.02108963093145866
2023-05-10,28150,28650,25900,26050,657007,-0.06463195691202872
2023-05-11,27100,27500,26400,27100,732629,0.040307101727447225
2023-05-12,27450,27850,26600,26600,542658,-0.01845018450184499
2023-05-15,26800,26800,25400,25900,274357,-0.02631578947368418
2023-05-16,26400,26650,24700,24950,322449,-0.03667953667953672
2023-05-17,24600,25450,24600,25100,265410,0.006012024048096087
2023-05-18,25300,26350,25300,25900,384199,0.031872509960159334
2023-05-19,26600,28350,26450,27000,1121603,0.042471042471042386
2023-05-22,27550,28250,27100,27350,417106,0.012962962962963065
2023-05-23,27450,28850,27200,28850,786631,0.054844606946983454
2023-05-24,28850,29250,28400,28750,544091,-0.0034662045060658286
2023-05-25,30050,30700,28400,28450,1270478,-0.01043478260869568
2023-05-26,28800,29000,27150,27250,421519,-0.04217926186291743
2023-05-30,27950,29150,27700,29000,576777,0.06422018348623859
2023-05-31,29100,29300,28450,28800,380477,-0.006896551724137945
2023-06-01,28700,30900,28100,30900,1200069,0.07291666666666674
2023-06-02,30350,30350,29500,29900,552797,-0.032362459546925515
2023-06-05,30200,32400,29500,31300,1830318,0.04682274247491636
2023-06-07,31800,34700,31700,32250,4087702,0.030351437699680517
2023-06-08,30950,31800,30200,30500,809064,-0.054263565891472854
2023-06-09,30850,31100,29500,29500,774924,-0.032786885245901676
2023-06-12,29050,29600,28300,28700,478502,-0.027118644067796627
2023-06-13,28800,30000,28800,29650,443233,0.03310104529616731
2023-06-14,29800,30200,28450,28650,367438,-0.033726812816188834
2023-06-15,28850,29150,27500,28100,245839,-0.01919720767888311
2023-06-16,28900,29450,28400,28400,368971,0.01067615658362997
2023-06-19,28050,28300,27500,27850,212864,-0.01936619718309862
2023-06-20,27900,28600,27200,28600,236964,0.026929982046678624
2023-06-21,28250,28600,27200,27350,201451,-0.04370629370629375
2023-06-22,27100,27750,26900,27100,145987,-0.009140767824497242
2023-06-23,27100,27500,26000,26250,230337,-0.03136531365313655
2023-06-26,25900,26600,25600,25800,231188,-0.017142857142857126
2023-06-27,25600,26150,25600,25650,146592,-0.005813953488372103
2023-06-28,25700,26350,25650,25750,140479,0.003898635477582957
2023-06-29,26000,26050,23650,23800,416605,-0.07572815533980581
2023-06-30,23450,23800,22850,23250,189152,-0.02310924369747902
2023-07-03,23500,24800,23300,23900,276002,0.027956989247311936
2023-07-04,23850,24000,23050,23450,144371,-0.01882845188284521
2023-07-05,23450,23850,23100,23450,118653,0.0
2023-07-06,23350,23550,22150,22400,218518,-0.04477611940298509
2023-07-07,22100,22550,21700,22200,132989,-0.008928571428571397
2023-07-10,22100,23500,21450,22200,237229,0.0
2023-07-11,21950,22850,21950,22600,139589,0.018018018018018056
2023-07-12,22800,22800,22000,22250,111354,-0.015486725663716783
2023-07-13,23300,24700,23050,23950,665209,0.07640449438202257
2023-07-14,24000,24750,23450,23600,247975,-0.014613778705636737
2023-07-17,23700,25050,23000,24750,310312,0.048728813559322015
2023-07-18,24750,25250,24050,25200,253943,0.018181818181818077
2023-07-19,26000,26450,25000,25250,602239,0.001984126984126977
2023-07-20,25800,26400,25150,25400,219692,0.005940594059405946
2023-07-21,24900,27050,24300,26100,792540,0.027559055118110187
2023-07-24,26600,26900,25000,25300,341583,-0.03065134099616862
2023-07-25,25150,25150,23500,23650,268742,-0.06521739130434778
2023-07-26,23400,23600,21600,21700,341286,-0.08245243128964064
2023-07-27,21750,23050,21750,22250,198266,0.025345622119815614
2023-07-28,22250,24200,22250,23900,251290,0.07415730337078652
2023-07-31,24200,26850,23200,25850,976785,0.08158995815899583
2023-08-01,26100,29900,26050,28000,3726953,0.0831721470019342
2023-08-02,27650,29250,26850,27250,821907,-0.0267857142857143
2023-08-03,26550,26750,24400,25100,544078,-0.07889908256880729
2023-08-04,25100,27350,25000,27050,549441,0.07768924302788838
2023-08-07,27050,27750,25650,26250,510546,-0.02957486136783738
2023-08-08,26400,26800,24800,25150,277872,-0.04190476190476189
2023-08-09,25050,25300,24100,24850,175605,-0.011928429423459286
2023-08-10,24550,24550,23050,23450,249661,-0.05633802816901412
2023-08-11,23450,23800,23000,23350,142736,-0.004264392324093813
2023-08-14,23350,24000,22650,23250,188957,-0.004282655246252709
